year,iso,pop,rgdpmad,xrusd,eq_tr,eq_capgain,eq_div_rtn
1945,JPN,76224,1346.1258396305625,6.9,3.8293447345495224E-2,2.0872864872217178E-2,1.7420582473278046E-2
1946,JPN,77199,1444.2164794880762,180,,,
1947,JPN,78119,1540.9444565342619,238,,,
1948,JPN,80155,1725.2858836005241,310,0.47509792447090149,0.46232315897941589,1.2774779461324215E-2
1949,JPN,81971,1799.8258774444621,595,1.1306854486465454,1.1100000143051147,2.0685456693172455E-2
1950,JPN,83805,1920.7207207207207,425,-0.27819731831550598,-0.31731909513473511,3.4078978002071381E-2
1951,JPN,85164,2125.6085093759507,435,0.42148053646087646,0.26846221089363098,0.13387703895568848
1952,JPN,86459,2336.4246820965195,415,0.81019347906112671,0.63150686025619507,0.13818863034248352
1953,JPN,87655,2474.3436961037883,435,0.5697740912437439,0.45591938495635986,9.7692199051380157E-2
1954,JPN,88754,2581.8698745064607,424,-7.893805205821991E-2,-0.15513263642787933,6.8434253334999084E-2
1955,JPN,89815,2770.7491371714273,401,0.21122434735298157,0.12525597214698792,8.0343276262283325E-2
1956,JPN,90766,2947.8701055396045,402,0.46458828449249268,0.36032757163047791,8.2299821078777313E-2
1957,JPN,91563,3135.873352523834,400,0.1763453483581543,9.6766993403434753E-2,7.4799507856369019E-2
1958,JPN,92389,3288.895321608994,391,0.12526765465736389,5.1026631146669388E-2,6.4638137817382813E-2
1959,JPN,93297,3553.9357364985972,402,0.53749704360961914,0.46015471220016479,6.0304392129182816E-2
1960,JPN,94092,3986.4328857788614,380,0.3631729781627655,0.28957477211952209,4.7327391803264618E-2
1961,JPN,94943,4426.2842242052848,373,0.20459005236625671,0.15151515603065491,3.9045512676239014E-2
1962,JPN,95832,4776.5168283411522,398.5,-2.0123757421970367E-2,-7.1278795599937439E-2,3.7509702146053314E-2
1963,JPN,96812,5128.6442560700671,381,0.10704467445611954,5.7065322995185852E-2,4.3363433331251144E-2
1964,JPN,97826,5667.6904578194726,380,-8.8919438421726227E-2,-0.13669753074645996,4.356035590171814E-2
1965,JPN,98883,5933.7476120909278,386,4.9558817408978939E-3,-4.7485742717981339E-2,5.0406854599714279E-2
1966,JPN,99790,6505.5315792792226,384,0.25859126448631287,0.20854644477367401,4.8307467252016068E-2
1967,JPN,100825,7152.2936227134069,386,5.6218501180410385E-2,1.0717779397964478E-2,4.3878313153982162E-2
1968,JPN,101961,7983.3134093113858,373,0.13842448592185974,8.9483998715877533E-2,4.6577747911214828E-2
1969,JPN,103172,8874.0888973851779,376,0.3406941294670105,0.29198893904685974,4.2923718690872192E-2
1970,JPN,104345,9713.9514330029106,380,9.3579836189746857E-2,7.8773483633995056E-2,3.6689136177301407E-2
1971,JPN,105697,10040.324215724026,314.79999999799998,0.12732847034931183,8.8306702673435211E-2,3.7164915353059769E-2
1972,JPN,107188,10733.599560840017,301.99999999900001,0.61180037260055542,0.56160920858383179,3.4839756786823273E-2
1973,JPN,108707,11433.802064833166,279.99999999900001,0.30897682905197144,0.277488112449646,2.5357851758599281E-2
1974,JPN,110162,11144.520200748892,300.949999999,-0.12447168678045273,-0.14697538316249847,2.0730745047330856E-2
1975,JPN,111573,11343.781059229359,305.14999999899999,5.088333785533905E-2,1.2158310040831566E-2,2.2930210456252098E-2
1976,JPN,112775,11668.967903931694,292.79999999799998,0.14641252160072327,0.12611387670040131,2.0298648625612259E-2
1977,JPN,113872,12063.854975732371,239.99999999900001,0.10224128514528275,8.4020398557186127E-2,1.8220890313386917E-2
1978,JPN,114913,12584.878299706463,194.599999999,0.13753899931907654,0.12098530679941177,1.6553699970245361E-2
1979,JPN,115890,13163.097132670082,239.699999999,0.10140237957239151,8.6096823215484619E-2,1.5305557288229465E-2
1980,JPN,116807,13427.729937687376,202.99999999900001,6.3830263912677765E-2,4.8377186059951782E-2,1.5453075058758259E-2
1981,JPN,117648,13754.451708405097,219.89999999899999,0.17547585070133209,0.15862429141998291,1.685154065489769E-2
1982,JPN,118455,14078.37040258014,234.99999999900001,6.0991011559963226E-3,-9.5009561628103256E-3,1.5600057318806648E-2
1983,JPN,119270,14306.872890504885,232.199999999,0.22308273613452911,0.20736284554004669,1.5719886869192123E-2
1984,JPN,120035,14772.586962917898,251.1,0.27473002672195435,0.26199355721473694,1.273645181208849E-2
1985,JPN,120754,15331.250840808323,200.5,0.21526658535003662,0.20429998636245728,1.0966608300805092E-2
1986,JPN,121492,15679.381063001287,159.1,0.31692242622375488,0.30731379985809326,9.608609601855278E-3
1987,JPN,122091,16251.293857282653,123.5,0.47516527771949768,0.46656146645545959,8.603803813457489E-3
1988,JPN,122613,17184.637844274261,125.85,9.6630990505218506E-2,9.1104671359062195E-2,5.5263219401240349E-3
1989,JPN,123108,17942.5136567634,143.44999999999999,0.2069246917963028,0.20154163241386414,5.3830584511160851E-3
1990,JPN,123537,18789.071163874261,134.4,-0.13175012171268463,-0.13593912124633789,4.1889981366693974E-3
1991,JPN,123946,19347.1030845286,125.2,-0.15509459376335144,-0.16026367247104645,5.1690801046788692E-3
1992,JPN,124329,19440.299298858994,124.75,-0.26120001077651978,-0.26762348413467407,6.423464510589838E-3
1993,JPN,124668,19417.435610722492,111.85,0.12972959876060486,0.12090430408716202,8.8253021240234375E-3
1994,JPN,125014,19536.819448437403,99.74,6.5417341887950897E-2,5.7958606630563736E-2,7.458733394742012E-3
1995,JPN,125341,19871.714456558704,102.83,-0.1368192583322525,-0.14406570792198181,7.2464598342776299E-3
1996,JPN,125645,20343.360449417913,116,0.16980524361133575,0.16145771741867065,8.3475355058908463E-3
1997,JPN,125956,20617.43761502919,129.94999999999999,-0.12792748212814331,-0.13589026033878326,7.9627688974142075E-3
1998,JPN,126246,20154.49399706678,115.6,-0.14892786741256714,-0.15865534543991089,9.7274864092469215E-3
1999,JPN,126494,20070.399088282407,102.2,0.20516772568225861,0.19335705041885376,1.1810678988695145E-2
